CICLO,ID_RAMO,DESC_RAMO,EJERCIDO_MDP
2002,31,Tribunales Agrarios,520.8535
2002,21,Turismo,1925.9919
2003,1,Poder Legislativo,5628.9005
2003,2,Presidencia de la República,1606.3625
2003,3,Poder Judicial,17896.4389
2003,4,Gobernación,4931.39
2003,5,Relaciones Exteriores,4572.9765
2003,6,Hacienda y Crédito Público,38222.51
2003,7,Defensa Nacional,24203.4388
2003,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",40169.5483
2003,9,Comunicaciones y Transportes,28379.0537
2003,10,Economía,6703.0318
2003,11,Educación Pública,113699.7143
2003,12,Salud,21933.6
2003,13,Marina,9201.4027
2003,14,Trabajo y Previsión Social,3078.6378
2003,15,Reforma Agraria,2987.6626
2003,16,Medio Ambiente y Recursos Naturales,18569.4537
2003,17,Procuraduría General de la República,7267.0478
2003,18,Energía,22235.4303
2003,19,Aportaciones a Seguridad Social,117540.5711
2003,20,Desarrollo Social,18019.6823
2003,21,Turismo,2245.2923
2003,22,Instituto Federal Electoral,10976.7758
2003,23,Provisiones Salariales y Económicas,23788.1904
2003,24,Deuda Pública,134138.1618
2003,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",17671.5437
2003,27,Función Pública,1294.1592
2003,28,Participaciones a Entidades Federativas y Municipios,225227.8379
2003,30,Adeudos de Ejercicios Fiscales Anteriores,12961.5798
2003,31,Tribunales Agrarios,528.8722
2003,32,Tribunal Federal de Justicia Fiscal y Administrativa,845.1956
2003,33,Aportaciones Federales para Entidades Federativas y Municipios,247728.0018
2003,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,30411.0693
2003,35,Comisión Nacional de los Derechos Humanos,577.6241
2003,36,Seguridad Pública,6259.6084
2003,37,Consejería Jurídica del Ejecutivo Federal,66.0143
2003,38,Consejo Nacional de Ciencia y Tecnología,7941.1158
2003,39,Programa de Apoyos para el Fortalecimiento de las Entidades Federativas,30989.6
2003,50,Instituto Mexicano del Seguro Social,177512.4597
2003,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,58084.3231
2003,52,Petróleos Mexicanos,148635.5162
2003,53,Comisión Federal de Electricidad,141079.3058
2003,54,Luz y Fuerza del Centro,24809.5025
2004,30,Adeudos de Ejercicios Fiscales Anteriores,28938.4344
2004,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",41455.8356
2004,19,Aportaciones a Seguridad Social,131004.8489
2004,33,Aportaciones Federales para Entidades Federativas y Municipios,258830.8659
2004,53,Comisión Federal de Electricidad,148093.5266
2004,35,Comisión Nacional de los Derechos Humanos,639.2169
2004,9,Comunicaciones y Transportes,28290.2438
2004,37,Consejería Jurídica del Ejecutivo Federal,80.6806
2004,38,Consejo Nacional de Ciencia y Tecnología,7777.9476
2004,7,Defensa Nacional,23846.3423
2004,20,Desarrollo Social,21119.6916
2004,24,Deuda Pública,138063.4582
2004,10,Economía,6216.3484
2004,11,Educación Pública,126203.134
2004,18,Energía,60033.2716
2004,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,44935.2932
2004,27,Función Pública,1376.9021
2004,4,Gobernación,4949.4073
2004,6,Hacienda y Crédito Público,26872.1081
2004,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,61032.3736
2004,22,Instituto Federal Electoral,5531.1013
2004,50,Instituto Mexicano del Seguro Social,193258.3825
2004,54,Luz y Fuerza del Centro,27534.1566
2004,13,Marina,8844.404
2004,16,Medio Ambiente y Recursos Naturales,19103.9625
2004,28,Participaciones a Entidades Federativas y Municipios,239890.2345
2004,52,Petróleos Mexicanos,175532.0388
2004,3,Poder Judicial,19471.8352
2004,1,Poder Legislativo,5538.7835
2004,2,Presidencia de la República,1593.0446
2004,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",16933.8574
2004,17,Procuraduría General de la República,7521.2772
2004,39,Programa de Apoyos para el Fortalecimiento de las Entidades Federativas,49694.4952
2004,23,Provisiones Salariales y Económicas,20473.0492
2004,15,Reforma Agraria,4157.9793
2004,5,Relaciones Exteriores,5350.3915
2004,12,Salud,23694.0279
2004,36,Seguridad Pública,6397.6025
2004,14,Trabajo y Previsión Social,3100.5237
2004,32,Tribunal Federal de Justicia Fiscal y Administrativa,889.1827
2004,31,Tribunales Agrarios,620.2461
2004,21,Turismo,2456.8778
2005,30,Adeudos de Ejercicios Fiscales Anteriores,13362.0564
2005,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",46278.9552
2005,19,Aportaciones a Seguridad Social,150346.2496
2005,33,Aportaciones Federales para Entidades Federativas y Municipios,289756.8671
2005,53,Comisión Federal de Electricidad,182661.7173
2005,35,Comisión Nacional de los Derechos Humanos,716.3617
2005,9,Comunicaciones y Transportes,42124.9789
2005,37,Consejería Jurídica del Ejecutivo Federal,88.1091
2005,38,Consejo Nacional de Ciencia y Tecnología,7950.3146
2005,7,Defensa Nacional,25270.9857
2005,20,Desarrollo Social,21755.2412
2005,24,Deuda Pública,153484.1483
