CICLO,ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,EJERCIDO_MPD
2016,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",K,Proyectos de Inversión,480.4160652
2016,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,1966.49481574
2016,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",O,Apoyo a la función pública y al mejoramiento de la gestión,123.62386302
2016,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",P,"Planeación, seguimiento y evaluación de políticas públicas",4415.6259018
2016,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",S,Sujetos a Reglas de Operación,62781.37611394
2016,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",U,Otros Subsidios,2376.07565081
2016,9,Comunicaciones y Transportes,E,Prestación de Servicios Públicos,7543.04222996
2016,9,Comunicaciones y Transportes,G,Regulación y supervisión,8231.31943105
2016,9,Comunicaciones y Transportes,K,Proyectos de Inversión,107177.68015843
2016,9,Comunicaciones y Transportes,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,2500.69024245
2016,9,Comunicaciones y Transportes,O,Apoyo a la función pública y al mejoramiento de la gestión,73.55613228
2016,9,Comunicaciones y Transportes,P,"Planeación, seguimiento y evaluación de políticas públicas",670.28050734
2016,9,Comunicaciones y Transportes,R,Específicos,0
2016,9,Comunicaciones y Transportes,S,Sujetos a Reglas de Operación,1956.6832426400001
2016,9,Comunicaciones y Transportes,U,Otros Subsidios,5209.01817045
2016,10,Economía,B,Provisión de Bienes Públicos,353.02105702
2016,10,Economía,E,Prestación de Servicios Públicos,1131.45848389
2016,10,Economía,F,Promoción y fomento,1024.97036306
2016,10,Economía,G,Regulación y supervisión,707.12717085
2016,10,Economía,K,Proyectos de Inversión,166.70309918
2016,10,Economía,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,452.02899572
2016,10,Economía,O,Apoyo a la función pública y al mejoramiento de la gestión,77.28045505
2016,10,Economía,P,"Planeación, seguimiento y evaluación de políticas públicas",2032.70210886
2016,10,Economía,S,Sujetos a Reglas de Operación,8350.432766740001
2016,10,Economía,U,Otros Subsidios,360.02511369999996
2016,11,Educación Pública,B,Provisión de Bienes Públicos,3378.17347498
2016,11,Educación Pública,E,Prestación de Servicios Públicos,129648.22030947
2016,11,Educación Pública,G,Regulación y supervisión,380.9757093
2016,11,Educación Pública,K,Proyectos de Inversión,1041.55550764
