CICLO,ID_RAMO,DESC_RAMO,MONTO_ORIGINAL,MONTO_EJERCIDO
2002,15,Reforma Agraria,2212.48,2156.4022
2002,5,Relaciones Exteriores,3843.02,3845.1198
2002,12,Salud,21995.77,20127.3469
2002,36,Seguridad Pública,7320.14,6388.9883
2002,14,Trabajo y Previsión Social,3563.6,3162.4897
2002,32,Tribunal Federal de Justicia Fiscal y Administrativa,754.41,782.6305
2002,31,Tribunales Agrarios,524.73,520.8535
2002,21,Turismo,1597.26,1925.9919
2003,1,Poder Legislativo,5575.9864,5628.9005
2003,2,Presidencia de la República,1661.78,1606.3625
2003,3,Poder Judicial,17732.0645,17896.4389
2003,4,Gobernación,3990.3769,4931.39
2003,5,Relaciones Exteriores,3444.2193,4572.9765
2003,6,Hacienda y Crédito Público,21785.1969,38222.51
2003,7,Defensa Nacional,22831.4965,24203.4388
2003,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",41782.6797,40169.5483
2003,9,Comunicaciones y Transportes,23124.3053,28379.0537
2003,10,Economía,5403.5085,6703.0318
2003,11,Educación Pública,106355.088,113699.7143
2003,12,Salud,20866.9715,21933.6
2003,13,Marina,8899.1717,9201.4027
2003,14,Trabajo y Previsión Social,3150.7084,3078.6378
2003,15,Reforma Agraria,2758.7595,2987.6626
2003,16,Medio Ambiente y Recursos Naturales,17404.2171,18569.4537
2003,17,Procuraduría General de la República,7154.275,7267.0478
2003,18,Energía,17569.0433,22235.4303
2003,19,Aportaciones a Seguridad Social,114365.3907,117540.5711
2003,20,Desarrollo Social,18977.482,18019.6823
2003,21,Turismo,1458.8961,2245.2923
2003,22,Instituto Federal Electoral,11095.9458,10976.7758
2003,23,Provisiones Salariales y Económicas,3297.1774,23788.1904
2003,24,Deuda Pública,128235.4088,134138.1618
2003,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",23915.7422,17671.5437
2003,27,Función Pública,1164.4073,1294.1592
2003,28,Participaciones a Entidades Federativas y Municipios,226676.8,225227.8379
2003,30,Adeudos de Ejercicios Fiscales Anteriores,7037.2,12961.5798
2003,31,Tribunales Agrarios,533.61,528.8722
2003,32,Tribunal Federal de Justicia Fiscal y Administrativa,814.6,845.1956
2003,33,Aportaciones Federales para Entidades Federativas y Municipios,234618.8116,247728.0018
2003,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,30238.6659,30411.0693
2003,35,Comisión Nacional de los Derechos Humanos,574.9678,577.6241
2003,36,Seguridad Pública,7067.2314,6259.6084
2003,37,Consejería Jurídica del Ejecutivo Federal,66.862,66.0143
2003,38,Consejo Nacional de Ciencia y Tecnología,7935.8436,7941.1158
2003,39,Programa de Apoyos para el Fortalecimiento de las Entidades Federativas,17000,30989.6
2003,50,Instituto Mexicano del Seguro Social,168785.7853,177512.4597
2003,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,54580.1948,58084.3231
2003,52,Petróleos Mexicanos,131986.7622,148635.5162
2003,53,Comisión Federal de Electricidad,113045.427,141079.3058
2003,54,Luz y Fuerza del Centro,20582.3104,24809.5025
2004,30,Adeudos de Ejercicios Fiscales Anteriores,10711.8,28938.4344
2004,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",36373.349,41455.8356
2004,19,Aportaciones a Seguridad Social,127265.2,131004.8489
2004,33,Aportaciones Federales para Entidades Federativas y Municipios,251201.3973,258830.8659
2004,53,Comisión Federal de Electricidad,139996.6508,148093.5266
2004,35,Comisión Nacional de los Derechos Humanos,629.105,639.2169
2004,9,Comunicaciones y Transportes,22746.4395,28290.2438
2004,37,Consejería Jurídica del Ejecutivo Federal,67.8528,80.6806
2004,38,Consejo Nacional de Ciencia y Tecnología,7705.9763,7777.9476
2004,7,Defensa Nacional,23332.7902,23846.3423
2004,20,Desarrollo Social,21098.5443,21119.6916
2004,24,Deuda Pública,145860.1204,138063.4582
2004,10,Economía,5379.9599,6216.3484
2004,11,Educación Pública,113414.104,126203.134
2004,18,Energía,20587.2541,60033.2716
2004,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,38030.1408,44935.2932
2004,27,Función Pública,1417.3699,1376.9021
2004,4,Gobernación,3818.0183,4949.4073
2004,6,Hacienda y Crédito Público,23620.1513,26872.1081
2004,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,55203.3,61032.3736
2004,22,Instituto Federal Electoral,5468.295,5531.1013
2004,50,Instituto Mexicano del Seguro Social,184381.4,193258.3825
2004,54,Luz y Fuerza del Centro,20434.5,27534.1566
2004,13,Marina,8488.2093,8844.404
2004,16,Medio Ambiente y Recursos Naturales,16008.1729,19103.9625
2004,28,Participaciones a Entidades Federativas y Municipios,242281,239890.2345
2004,52,Petróleos Mexicanos,136997.8811,175532.0388
2004,3,Poder Judicial,19400.0499,19471.8352
2004,1,Poder Legislativo,5438.9866,5538.7835
2004,2,Presidencia de la República,1645.3313,1593.0446
2004,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",29762.3507,16933.8574
2004,17,Procuraduría General de la República,7256.5088,7521.2772
2004,39,Programa de Apoyos para el Fortalecimiento de las Entidades Federativas,17000,49694.4952
2004,23,Provisiones Salariales y Económicas,16719.0058,20473.0492
2004,15,Reforma Agraria,2806.1205,4157.9793
2004,5,Relaciones Exteriores,3424.0504,5350.3915
2004,12,Salud,20973.0454,23694.0279
2004,36,Seguridad Pública,6462.6873,6397.6025
2004,14,Trabajo y Previsión Social,3327.846,3100.5237
2004,32,Tribunal Federal de Justicia Fiscal y Administrativa,783.5895,889.1827
2004,31,Tribunales Agrarios,574.0401,620.2461
2004,21,Turismo,1230.2028,2456.8778
2005,30,Adeudos de Ejercicios Fiscales Anteriores,7250,13362.0564
2005,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",48396.0819,46278.9552
2005,19,Aportaciones a Seguridad Social,147679.3721,150346.2496
2005,33,Aportaciones Federales para Entidades Federativas y Municipios,271082.8632,289756.8671
2005,53,Comisión Federal de Electricidad,141073.2065,182661.7173
2005,35,Comisión Nacional de los Derechos Humanos,708.0834,716.3617
2005,9,Comunicaciones y Transportes,36694.4346,42124.9789
2005,37,Consejería Jurídica del Ejecutivo Federal,72.1345,88.1091
2005,38,Consejo Nacional de Ciencia y Tecnología,8143.3128,7950.3146
2005,7,Defensa Nacional,24002.1721,25270.9857
2005,20,Desarrollo Social,23744.1194,21755.2412
2005,24,Deuda Pública,158079.6487,153484.1483
2005,10,Economía,7017.5819,6441.4892
2005,11,Educación Pública,127668.3977,137371.32
2005,18,Energía,26413.9342,77435.001
2005,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,31773.7679,27455.0527
2005,27,Función Pública,1385.6663,1466.8732
2005,4,Gobernación,3422.3754,5867.9618
2005,6,Hacienda y Crédito Público,26915.7365,31160.9053
2005,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,68273,72449.1404
2005,22,Instituto Federal Electoral,6398.0531,6329.7557
2005,50,Instituto Mexicano del Seguro Social,204707.6,211152.5196
2005,54,Luz y Fuerza del Centro,25492.7,22892.3457
2005,13,Marina,8636.4218,9528.7874
2005,16,Medio Ambiente y Recursos Naturales,24482.8649,24402.1693
2005,28,Participaciones a Entidades Federativas y Municipios,272471.6,278892.3585
2005,52,Petróleos Mexicanos,132777.2548,180885.4612
2005,3,Poder Judicial,21037.6474,21504.9395
2005,1,Poder Legislativo,6355.9185,6424.4975
2005,2,Presidencia de la República,1408.0596,1622.8125
2005,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",36085.636,19416.1394
2005,17,Procuraduría General de la República,8143.5951,7572.2672
2005,39,Programa de Apoyos para el Fortalecimiento de las Entidades Federativas,20386,46945.8966
2005,23,Provisiones Salariales y Económicas,6872.4421,25295.2352
2005,15,Reforma Agraria,4856.2207,3755.3133
2005,5,Relaciones Exteriores,4034.5547,5215.4592
2005,12,Salud,34024.454,33705.4891
2005,36,Seguridad Pública,7036.8187,6976.9299
2005,14,Trabajo y Previsión Social,3185.3401,3344.6575
2005,32,Tribunal Federal de Justicia Fiscal y Administrativa,1068.3749,1051.2886
2005,31,Tribunales Agrarios,666.9952,580.2427
2005,21,Turismo,1147.4538,2605.2168
2006,30,Adeudos de Ejercicios Fiscales Anteriores,13876.8,19981.8262
2006,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",51020.6858,48779.0479
2006,19,Aportaciones a Seguridad Social,177121.5551,172376.1871
2006,33,Aportaciones Federales para Entidades Federativas y Municipios,292071.8497,311941.3382
2006,53,Comisión Federal de Electricidad,162617.2774,200098.6262
2006,35,Comisión Nacional de los Derechos Humanos,742.5431,851.3704
2006,9,Comunicaciones y Transportes,33687.1584,41075.0477
2006,37,Consejería Jurídica del Ejecutivo Federal,74.407,104.1512
2006,38,Consejo Nacional de Ciencia y Tecnología,8859.2476,8611.6633
2006,7,Defensa Nacional,26031.9009,26987.7131
2006,20,Desarrollo Social,26572.7818,27458.255
2006,24,Deuda Pública,182042.6295,168071.0353
2006,10,Economía,7618.5898,9435.8009
2006,11,Educación Pública,137590.4327,151790.4038
2006,18,Energía,27324.3731,80447.1178
2006,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,36972.7818,38600.0756
2006,27,Función Pública,1412.3971,1600.0287
2006,4,Gobernación,4737.9138,6629.2775
2006,6,Hacienda y Crédito Público,27211.9457,38023.8751
2006,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,74128.8,79416.1203
2006,22,Instituto Federal Electoral,11892.136,11801.4362
2006,50,Instituto Mexicano del Seguro Social,209194.6,231443.397
2006,54,Luz y Fuerza del Centro,26146.2,32407.125
2006,13,Marina,9163.5108,9998.3119
2006,16,Medio Ambiente y Recursos Naturales,21342.8235,29030.3769
2006,28,Participaciones a Entidades Federativas y Municipios,290917.91,329337.3406
2006,52,Petróleos Mexicanos,138975.5109,213981.4667
2006,3,Poder Judicial,23389.313,23800.2975
2006,1,Poder Legislativo,6914.7766,7514.3724
2006,2,Presidencia de la República,1621.9132,2019.1925
2006,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",33151.6,21098.1997
2006,17,Procuraduría General de la República,9550.581,8862.4002
2006,39,Programa de Apoyos para el Fortalecimiento de las Entidades Federativas,22500,54671.4688
2006,23,Provisiones Salariales y Económicas,10748.788,50672.9516
2006,15,Reforma Agraria,4435.5989,4341.9205
2006,5,Relaciones Exteriores,4510.9389,5819.219
2006,12,Salud,42355.506,41547.7117
2006,36,Seguridad Pública,9274.4,8676.0297
2006,14,Trabajo y Previsión Social,3262.1395,3347.0663
2006,32,Tribunal Federal de Justicia Fiscal y Administrativa,1136.5101,1148.1574
2006,31,Tribunales Agrarios,575.1321,584.2149
2006,21,Turismo,1227.327,2005.2396
2007,30,Adeudos de Ejercicios Fiscales Anteriores,12000,15943.3107
2007,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",58384.7,57117.8116
2007,19,Aportaciones a Seguridad Social,191994.4,211087.919
2007,33,Aportaciones Federales para Entidades Federativas y Municipios,332298.0876,356761.2737
2007,53,Comisión Federal de Electricidad,21626.11999,22195.29073
2007,35,Comisión Nacional de los Derechos Humanos,800.9641,812.3785
2007,9,Comunicaciones y Transportes,39168.2,74353.915
2007,37,Consejería Jurídica del Ejecutivo Federal,86.0574,92.5449
2007,38,Consejo Nacional de Ciencia y Tecnología,9330.6489,9096.0951
2007,7,Defensa Nacional,32200.8965,34157.436
2007,20,Desarrollo Social,35108.4684,39543.6676
2007,24,Deuda Pública,185185.6003,178291.9443
2007,10,Economía,8233.1286,10228.2343
